,ss_id,pv_datetime,generation
130,6618,2019-07-15 18:00:00,1057.7916
131,6618,2020-01-02 11:00:00,127.1244
132,6618,2019-12-07 01:00:00,0.0
133,6618,2020-03-14 19:00:00,0.0
134,6618,2021-01-24 20:00:00,0.0
135,6618,2019-12-03 09:00:00,173.2428
136,6618,2021-05-15 19:00:00,39.63228
137,6618,2021-09-21 20:00:00,0.0
138,6618,2020-01-05 10:00:00,239.5716
139,6618,2019-10-04 17:00:00,151.4652
140,6618,2019-12-13 22:00:00,0.0
141,6618,2020-11-21 18:00:00,0.0
142,6618,2019-12-15 04:00:00,0.0
143,6618,2019-12-17 00:00:00,0.0
144,6618,2021-05-01 02:00:00,0.0
145,6618,2019-02-02 11:00:00,1218.48
146,6618,2018-08-11 11:00:00,1391.184
147,6618,2021-08-05 20:00:00,0.0
149,6618,2019-05-08 19:00:00,49.1298
150,6618,2019-02-04 22:00:00,0.0
151,6618,2019-07-16 11:00:00,2472.768
152,6618,2018-04-16 16:00:00,2254.848
153,6618,2020-05-14 14:00:00,0.0
154,6618,2019-11-10 09:00:00,297.6816
155,6618,2019-03-23 23:00:00,0.0
156,6618,2019-06-12 09:00:00,1336.776
157,6618,2018-03-07 21:00:00,0.0
158,6618,2021-06-09 11:00:00,2633.124
159,6618,2019-12-23 14:00:00,299.1144
160,6618,2021-04-10 21:00:00,0.0
161,6618,2021-03-31 13:00:00,599.502
162,6618,2019-09-04 09:00:00,407.6076
163,6618,2020-03-08 11:00:00,1784.112
164,6618,2021-02-09 03:00:00,0.0
165,6618,2021-02-06 11:00:00,1340.064
166,6618,2020-10-30 09:00:00,80.23188
167,6618,2021-01-20 19:00:00,0.0
168,6618,2020-06-05 03:00:00,0.0
169,6618,2018-10-12 07:00:00,0.0
170,6618,2019-07-19 15:00:00,475.26
171,6618,2020-01-10 22:00:00,0.0
172,6618,2021-08-31 17:00:00,295.7196
173,6618,2020-08-18 13:00:00,3473.664
174,6618,2018-07-23 09:00:00,0.0
175,6618,2019-06-08 01:00:00,0.0
176,6618,2018-12-06 05:00:00,0.0
177,6618,2018-06-23 01:00:00,0.0
178,6618,2019-10-18 08:00:00,112.16808
179,6618,2021-06-09 01:00:00,0.0
180,6618,2019-02-28 11:00:00,824.4372
181,6618,2020-06-25 17:00:00,1590.852
182,6618,2018-12-25 19:00:00,0.0
183,6618,2020-11-11 14:00:00,68.04372
184,6618,2018-10-26 20:00:00,0.0
185,6618,2018-05-29 10:00:00,165.3888
186,6618,2019-09-07 01:00:00,0.0
187,6618,2020-11-23 20:00:00,0.0
188,6618,2021-02-11 20:00:00,0.0
189,6618,2018-01-11 18:00:00,0.0
190,6618,2019-10-09 15:00:00,286.7892
191,6618,2020-10-31 13:00:00,50.92464
192,6618,2019-04-17 01:00:00,0.0
193,6618,2021-09-14 08:00:00,272.9304
194,6618,2018-10-10 12:00:00,1974.9
195,6618,2021-01-23 15:00:00,1056.3984
196,6618,2018-07-31 04:00:00,0.0
197,6618,2018-10-04 06:00:00,0.0
198,6618,2019-01-25 11:00:00,453.0864
199,6618,2019-01-13 14:00:00,157.152
200,6618,2021-02-19 05:00:00,0.0
201,6618,2020-12-19 21:00:00,0.0
202,6618,2019-02-14 15:00:00,1791.264
203,6618,2019-10-18 19:00:00,0.0
204,6618,2019-10-31 05:00:00,0.0
205,6618,2018-01-26 10:00:00,212.3136
206,6618,2018-10-31 16:00:00,74.61864
207,6618,2019-01-23 23:00:00,0.0
208,6618,2020-12-01 17:00:00,0.0
209,6618,2019-10-26 06:00:00,0.0
210,6618,2021-02-23 23:00:00,0.0
211,6618,2021-04-08 02:00:00,0.0
212,6618,2018-07-31 17:00:00,1642.8
213,6618,2019-12-31 20:00:00,0.0
214,6618,2019-11-07 07:00:00,0.0
215,6618,2021-09-13 14:00:00,1533.156
216,6618,2019-10-02 14:00:00,1253.856
217,6618,2018-06-08 22:00:00,0.0
218,6618,2020-09-07 20:00:00,0.0
219,6618,2018-05-30 20:00:00,0.0
220,6618,2019-04-15 22:00:00,0.0
221,6618,2018-08-01 02:00:00,0.0
222,6618,2021-10-09 13:00:00,1840.344
223,6618,2019-07-10 16:00:00,2040.036
224,6618,2018-12-27 09:00:00,80.14764
225,6618,2020-03-15 21:00:00,0.0
226,6618,2020-07-29 15:00:00,2751.792
227,6618,2020-02-10 11:00:00,631.8432
228,6618,2018-01-18 16:00:00,372.6192
229,6618,2019-09-04 10:00:00,1733.16
230,6618,2020-02-27 14:00:00,1418.808
231,6618,2018-05-20 03:00:00,0.0
232,6618,2018-06-29 20:00:00,31.41108
233,6618,2021-05-21 16:00:00,528.2208
234,6618,2021-02-27 05:00:00,0.0
235,6618,2019-09-03 06:00:00,57.54168
236,6618,2019-12-20 05:00:00,0.0
237,6618,2020-10-19 08:00:00,186.1848
238,6618,2021-07-31 10:00:00,1149.5016
239,6618,2020-06-27 12:00:00,862.2996
240,6618,2020-03-29 16:00:00,698.3256
241,6618,2020-10-08 06:00:00,0.0
242,6618,2021-06-29 01:00:00,0.0
243,6618,2020-10-18 02:00:00,0.0
244,6618,2018-09-29 12:00:00,2259.756
245,6618,2019-12-14 19:00:00,0.0
246,6618,2018-12-07 06:00:00,0.0
247,6618,2021-03-12 07:00:00,42.50496
248,6618,2020-05-27 17:00:00,676.806
249,6618,2021-06-11 17:00:00,1588.104
250,6618,2018-07-01 23:00:00,0.0
251,6618,2020-07-07 09:00:00,658.4496
252,6618,2018-04-09 19:00:00,0.0
254,6618,2019-10-30 19:00:00,0.0
255,6618,2020-01-19 10:00:00,106.45332
256,6618,2019-05-07 16:00:00,856.5
257,6618,2019-04-06 12:00:00,1132.596
258,6618,2018-03-26 20:00:00,0.0
259,6618,2018-05-11 15:00:00,904.8672
260,6618,2018-10-28 11:00:00,473.0736
261,6618,2020-02-20 01:00:00,0.0
262,6618,2020-11-01 12:00:00,441.3852
263,6618,2018-08-01 00:00:00,0.0
264,6618,2019-01-24 09:00:00,137.5716
265,6618,2019-03-20 00:00:00,0.0
266,6618,2020-10-01 07:00:00,27.88176
267,6618,2019-08-07 22:00:00,0.0
268,6618,2019-09-04 12:00:00,2826.336
269,6618,2018-10-29 02:00:00,0.0
270,6618,2019-01-30 11:00:00,1183.8997
271,6618,2020-07-09 07:00:00,187.398
272,6618,2019-01-10 04:00:00,0.0
273,6618,2018-02-27 12:00:00,518.5248
274,6618,2019-07-10 06:00:00,147.2568
275,6618,2018-04-14 10:00:00,1971.456
276,6618,2019-06-30 06:00:00,305.4072
277,6618,2019-08-18 00:00:00,0.0
278,6618,2018-07-24 09:00:00,1335.168
279,6618,2018-12-12 22:00:00,0.0
280,6618,2018-05-22 14:00:00,1777.656
281,6618,2021-04-05 01:00:00,0.0
282,6618,2020-02-05 02:00:00,0.0
283,6618,2019-09-29 14:00:00,470.5992
284,6618,2019-07-21 15:00:00,2322.552
